what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.emf.databinding.edit,1.1.0.v200906151043,"org.eclipse.emf.databinding.edit",1523927062500
stopped,bundle,org.eclipse.emf.databinding,1.1.0.v200906151043,"org.eclipse.emf.databinding",1523927062500
stopped,bundle,org.eclipse.emf.cheatsheets,2.5.0.v200906151043,"org.eclipse.emf.cheatsheets",1523927062500
stopped,bundle,org.eclipse.emf.cdo.ui.defs,2.0.0.v200906160459,"org.eclipse.emf.cdo.ui.defs",1523927062501
stopped,bundle,org.eclipse.emf.cdo.ui,2.0.0.v200906160459,"org.eclipse.emf.cdo.ui",1523927062502
stopped,bundle,org.eclipse.uml2.uml.ecore.exporter,2.3.0.v200905041045,"org.eclipse.uml2.uml.ecore.exporter",1523927062502
stopped,bundle,org.eclipse.xsd.ecore.exporter,2.5.0.v200906151043,"org.eclipse.xsd.ecore.exporter",1523927062503
stopped,bundle,org.eclipse.emf.exporter,2.5.0.v200906151043,"org.eclipse.emf.exporter",1523927062503
stopped,bundle,org.eclipse.emf.importer.ecore,2.4.0.v200906151043,"org.eclipse.emf.importer.ecore",1523927062504
stopped,bundle,org.eclipse.emf.importer.java,2.5.0.v200906151043,"org.eclipse.emf.importer.java",1523927062504
stopped,bundle,org.eclipse.emf.importer.rose,2.5.0.v200906151043,"org.eclipse.emf.importer.rose",1523927062504
stopped,bundle,org.eclipse.uml2.uml.ecore.importer,2.3.0.v200905041045,"org.eclipse.uml2.uml.ecore.importer",1523927062505
stopped,bundle,org.eclipse.xsd.ecore.importer,2.5.0.v200906151043,"org.eclipse.xsd.ecore.importer",1523927062505
stopped,bundle,org.eclipse.emf.importer,2.5.0.v200906151043,"org.eclipse.emf.importer",1523927062506
stopped,bundle,org.eclipse.emf.converter,2.5.0.v200906151043,"org.eclipse.emf.converter",1523927062506
stopped,bundle,org.eclipse.uml2.codegen.ecore.ui,1.5.0.v200905041045,"org.eclipse.uml2.codegen.ecore.ui",1523927062506
stopped,bundle,org.eclipse.emf.codegen.ecore.ui,2.5.0.v200906151043,"org.eclipse.emf.codegen.ecore.ui",1523927062506
stopped,bundle,org.eclipse.emf.mapping.ecore2ecore.editor,2.4.0.v200906151043,"org.eclipse.emf.mapping.ecore2ecore.editor",1523927062507
stopped,bundle,org.eclipse.uml2.examples.uml.ui,3.0.0.v200905041045,"org.eclipse.uml2.examples.uml.ui",1523927062507
stopped,bundle,org.eclipse.emf.ecore.editor,2.5.0.v200906151043,"org.eclipse.emf.ecore.editor",1523927062507
stopped,bundle,org.eclipse.emf.mapping.ecore2xml.ui,2.5.0.v200906151043,"org.eclipse.emf.mapping.ecore2xml.ui",1523927062508
stopped,bundle,org.eclipse.emf.mapping.xsd2ecore.editor,2.4.0.v200906151043,"org.eclipse.emf.mapping.xsd2ecore.editor",1523927062508
stopped,bundle,org.eclipse.emf.mapping.ui,2.5.0.v200906151043,"org.eclipse.emf.mapping.ui",1523927062508
stopped,bundle,org.eclipse.emf.workspace.ui,1.3.0.v200901271819,"org.eclipse.emf.workspace.ui",1523927062508
stopped,bundle,org.eclipse.m2m.qvt.oml.samples,2.0.0.v20090608-1830,"org.eclipse.m2m.qvt.oml.samples",1523927062508
stopped,bundle,org.eclipse.uml2.uml.editor,3.0.0.v200905041045,"org.eclipse.uml2.uml.editor",1523927062510
stopped,bundle,org.eclipse.emf.ecoretools.properties,0.8.0.v200906221231,"org.eclipse.emf.ecoretools.properties",1523927062511
stopped,bundle,org.eclipse.emf.ecoretools.tabbedproperties,0.8.0.v200906221231,"org.eclipse.emf.ecoretools.tabbedproperties",1523927062512
stopped,bundle,org.eclipse.emf.teneo.eclipselink.ui,1.0.0.v200909151729,"org.eclipse.emf.teneo.eclipselink.ui",1523927062512
stopped,bundle,org.eclipse.emf.teneo.eclipselink.common.ui,1.0.0.v200909151729,"org.eclipse.emf.teneo.eclipselink.common.ui",1523927062513
stopped,bundle,org.eclipse.emf.transaction.ui,1.3.1.v20090819-1457,"org.eclipse.emf.transaction.ui",1523927062513
stopped,bundle,org.pnml.tools.epnk.editor,0.9.0.201101281458,"org.pnml.tools.epnk.editor",1523927062514
stopped,bundle,org.eclipse.emf.edit.ui,2.5.0.v200906151043,"org.eclipse.emf.edit.ui",1523927062514
stopped,bundle,org.eclipse.emf.codegen.ui,2.5.0.v200906151043,"org.eclipse.emf.codegen.ui",1523927062514
stopped,bundle,org.eclipse.emf.example.installer,1.1.0.v200906151043,"org.eclipse.emf.example.installer",1523927062515
stopped,bundle,org.eclipse.xsd.example.installer,1.0.0.v200906151043,"org.eclipse.xsd.example.installer",1523927062515
stopped,bundle,org.eclipse.emf.common.ui,2.5.0.v200906151043,"org.eclipse.emf.common.ui",1523927062515
stopped,bundle,org.eclipse.emf.ocl.examples,1.3.0.v200901271800,"org.eclipse.emf.ocl.examples",1523927062516
stopped,bundle,org.eclipse.emf.query.examples,1.2.0.v200901271643,"org.eclipse.emf.query.examples",1523927062517
stopped,bundle,org.eclipse.emf.transaction.examples,1.2.100.v200901271819,"org.eclipse.emf.transaction.examples",1523927062518
